,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years
111,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
112,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
113,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,,NaN
114,False,True,False,False,False,True,False,False,False,False,False,True,False,Female,26–30,7 to 10 Years
115,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21–25,Under 1 Year
116,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years
117,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,41–45,Under 1 Year
118,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,11 to 20 Years
119,False,False,False,False,False,False,False,True,True,False,False,False,False,Female,31–35,Under 1 Year
120,False,False,False,False,False,False,False,False,False,False,True,True,True,Female,36–40,1 to 2 Years
121,False,True,False,True,False,False,False,False,False,False,False,False,False,Male,46–50,3 to 4 Years
122,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years
123,False,False,False,True,False,False,False,False,True,False,False,False,False,Female,56+,5 to 6 Years
124,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,51-55,Under 1 Year
125,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,51-55,Under 1 Year
126,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,51-55,Under 1 Year
127,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,7 to 10 Years
128,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,3 to 4 Years
129,False,True,False,False,False,False,False,True,False,False,False,False,False,Female,21–25,1 to 2 Years
130,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,,NaN
131,False,False,True,False,False,False,False,True,True,True,False,True,True,Female,41–45,1 to 2 Years
132,False,False,True,False,False,False,False,False,True,True,False,False,True,Female,51-55,Under 1 Year
133,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,3 to 4 Years
134,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,51-55,3 to 4 Years
135,False,False,False,False,True,False,False,False,False,False,False,False,False,Male,,NaN
136,False,True,False,False,False,False,False,False,True,False,True,True,True,Male,46–50,5 to 6 Years
137,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21–25,3 to 4 Years
138,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,,NaN
139,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,11 to 20 Years
140,False,False,False,False,False,False,False,False,False,True,True,False,False,Female,41–45,3 to 4 Years
141,False,False,True,False,False,False,True,False,False,False,False,False,False,Female,51-55,20 Plus Years
142,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,31–35,Under 1 Year
143,False,False,False,False,True,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
144,True,False,False,False,True,False,True,False,False,False,False,False,False,Male,,NaN
145,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,31–35,1 to 2 Years
146,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,31–35,Under 1 Year
147,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
148,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,Under 1 Year
149,False,False,False,False,False,False,False,True,False,True,False,False,True,Female,51-55,Under 1 Year
150,False,True,False,False,False,False,False,False,False,False,False,False,True,Female,36–40,3 to 4 Years
151,False,False,False,False,False,False,False,True,False,False,False,False,True,Male,56+,Under 1 Year
152,False,True,False,False,False,False,False,False,False,True,True,True,True,Female,21–25,Under 1 Year
153,True,False,False,False,False,False,False,False,True,True,True,False,True,Male,18-20,Under 1 Year
154,False,False,False,False,False,False,False,False,False,False,True,True,True,Female,51-55,Under 1 Year
155,False,False,False,False,True,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years
156,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
157,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,56+,20 Plus Years
158,False,False,True,True,False,False,False,False,False,False,False,False,True,Female,56+,7 to 10 Years
159,True,False,False,False,True,False,False,False,False,False,False,False,False,Female,21–25,Under 1 Year
160,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,41–45,Under 1 Year
161,False,False,False,False,False,False,False,True,False,False,False,True,True,Female,18-20,Under 1 Year
162,False,False,False,False,False,False,False,False,False,False,True,True,True,Female,21–25,1 to 2 Years
163,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41–45,Under 1 Year
164,False,False,False,False,True,True,True,False,False,False,False,False,False,Female,51-55,20 Plus Years
165,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,11 to 20 Years
166,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,56+,11 to 20 Years
167,True,False,False,False,False,False,False,False,False,False,False,True,False,Female,41–45,5 to 6 Years
168,False,False,False,False,False,False,False,True,True,False,False,False,False,Female,51-55,Under 1 Year
169,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,,NaN
170,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,1 to 2 Years
171,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,Under 1 Year
172,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,1 to 2 Years
173,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,,NaN
174,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,21–25,3 to 4 Years
175,True,False,False,False,False,False,False,False,True,True,True,True,False,Male,21–25,1 to 2 Years
176,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years
177,False,False,False,False,False,False,False,False,True,True,False,False,False,Female,41–45,1 to 2 Years
178,False,False,False,False,False,False,False,True,False,False,True,True,True,Female,21–25,5 to 6 Years
179,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,31–35,3 to 4 Years
180,False,True,False,False,False,True,False,False,False,False,False,False,False,Female,21–25,3 to 4 Years
181,False,False,False,False,True,False,False,False,False,False,False,False,False,Male,41–45,3 to 4 Years
182,False,False,False,False,False,False,False,False,True,True,True,True,True,Female,56+,3 to 4 Years
183,False,False,False,False,False,True,True,False,False,False,False,False,False,Female,46–50,Under 1 Year
184,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,26–30,1 to 2 Years
185,False,True,False,False,True,True,False,False,False,False,True,False,False,Male,46–50,1 to 2 Years
186,False,True,False,False,False,False,False,False,True,True,False,True,True,Male,46–50,1 to 2 Years
187,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,5 to 6 Years
188,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years
189,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,46–50,5 to 6 Years
190,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,21–25,1 to 2 Years
191,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,41–45,1 to 2 Years
192,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,36–40,Under 1 Year
193,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,5 to 6 Years
194,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,26–30,Under 1 Year
195,False,False,False,True,False,True,False,False,False,False,False,False,False,Female,51-55,20 Plus Years
196,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,1 to 2 Years
197,True,False,False,False,False,False,False,True,False,False,False,False,False,Female,41–45,3 to 4 Years
198,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
199,False,False,False,False,False,False,False,False,False,False,True,False,True,Female,26–30,1 to 2 Years
200,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21–25,Under 1 Year
201,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years
202,False,False,True,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years
203,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,41–45,Under 1 Year
204,False,False,False,False,True,False,True,False,False,False,False,False,False,Female,,NaN
205,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
206,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years
207,True,False,False,False,False,False,False,True,True,False,True,True,False,Female,31–35,1 to 2 Years
208,False,True,False,False,False,True,False,False,False,False,False,False,False,Female,21–25,1 to 2 Years
209,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,1 to 2 Years
210,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,Under 1 Year
211,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,41–45,1 to 2 Years
212,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,Under 1 Year
213,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,18-20,Under 1 Year
214,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,Under 1 Year
215,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,Under 1 Year
216,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,,NaN
217,False,False,False,False,False,False,False,True,False,False,True,False,True,Female,21–25,1 to 2 Years
218,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,1 to 2 Years
219,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,7 to 10 Years
220,False,True,False,False,False,True,False,False,False,False,True,True,False,Female,26–30,1 to 2 Years
221,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,41–45,11 to 20 Years
222,False,False,False,False,False,False,False,False,True,True,False,False,True,Female,56+,3 to 4 Years
223,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years
224,False,False,False,True,False,False,False,True,False,False,False,False,False,Female,46–50,5 to 6 Years
225,False,False,False,False,False,False,False,True,False,False,False,False,True,Female,56+,3 to 4 Years
226,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,36–40,Under 1 Year
227,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,36–40,3 to 4 Years
228,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years
229,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,1 to 2 Years
230,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
231,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,31–35,1 to 2 Years
232,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,Under 1 Year
233,False,False,False,False,False,False,False,False,False,True,False,True,True,Female,18-20,Under 1 Year
234,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,,NaN
235,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21–25,3 to 4 Years
236,False,False,False,False,False,False,False,False,True,True,True,False,True,Female,51-55,Under 1 Year
237,False,False,False,False,True,True,True,False,False,False,False,False,False,Female,36–40,1 to 2 Years
238,True,False,False,False,False,False,False,False,False,False,False,True,False,Female,41–45,11 to 20 Years
239,False,False,False,False,False,False,False,False,False,True,False,True,True,Female,46–50,Under 1 Year
240,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,51-55,Under 1 Year
241,False,True,False,False,False,True,False,False,False,False,False,False,False,Female,21–25,3 to 4 Years
242,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36–40,Under 1 Year
243,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,,NaN
244,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,18-20,Under 1 Year
245,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,41–45,Under 1 Year
246,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,18-20,1 to 2 Years
247,False,False,False,False,False,False,False,False,False,False,True,False,True,Female,56+,5 to 6 Years
248,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,3 to 4 Years
249,False,False,False,False,False,False,False,False,True,True,True,True,True,Female,56+,1 to 2 Years
250,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,7 to 10 Years
251,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,NaN
252,False,False,False,False,False,False,False,False,True,True,True,True,True,Female,41–45,Under 1 Year
253,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41–45,Under 1 Year
254,True,False,False,False,False,False,False,False,False,False,False,False,True,Female,21–25,3 to 4 Years
255,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36–40,1 to 2 Years
256,True,False,False,False,False,False,False,False,False,False,True,True,True,Female,51-55,1 to 2 Years
257,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
258,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
259,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,36–40,5 to 6 Years
260,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,46–50,3 to 4 Years
261,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,Under 1 Year
262,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,7 to 10 Years
263,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,36–40,3 to 4 Years
264,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,11 to 20 Years
265,False,False,False,False,False,False,False,False,True,False,False,True,False,Female,51-55,3 to 4 Years
266,False,False,True,False,False,True,False,False,False,False,False,False,False,Male,56+,20 Plus Years
267,False,False,False,False,False,False,False,False,True,True,True,True,True,Female,31–35,Under 1 Year
268,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years
269,False,False,True,False,False,False,False,False,False,True,False,False,True,Male,56+,11 to 20 Years
270,True,False,False,False,False,False,False,False,False,False,False,True,False,Female,41–45,1 to 2 Years
271,False,False,True,False,True,False,False,False,False,False,False,False,False,Male,56+,7 to 10 Years
272,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
273,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,5 to 6 Years
274,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,46–50,11 to 20 Years
275,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,26–30,1 to 2 Years
276,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
277,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years
278,False,False,False,False,False,False,False,False,True,True,True,True,True,Female,51-55,11 to 20 Years
279,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,,NaN
280,False,False,False,True,False,False,False,True,False,False,False,False,False,Female,56+,5 to 6 Years
281,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years
282,False,False,False,False,True,True,True,False,False,False,False,False,False,Female,56+,7 to 10 Years
283,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
284,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
285,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56+,20 Plus Years
286,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,51-55,11 to 20 Years
287,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
288,False,False,False,False,False,True,False,False,False,False,False,True,True,Male,46–50,Under 1 Year
289,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,3 to 4 Years
290,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
291,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,56+,20 Plus Years
292,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
293,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,46–50,Under 1 Year
294,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,51-55,20 Plus Years
295,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,56+,20 Plus Years
296,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
297,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
298,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,7 to 10 Years
299,False,False,False,False,False,False,False,False,True,True,True,True,True,Female,56+,11 to 20 Years
300,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,Under 1 Year
301,False,False,False,False,True,True,True,True,False,False,False,False,False,Female,46–50,5 to 6 Years
302,False,False,False,False,False,False,False,True,False,False,False,False,True,Male,56+,20 Plus Years
303,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,51-55,20 Plus Years
304,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
305,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
306,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years
307,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,51-55,11 to 20 Years
308,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,NaN
309,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years
310,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years
311,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
312,False,False,False,False,False,False,False,True,False,False,True,False,False,Female,56+,11 to 20 Years
313,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,11 to 20 Years
314,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,1 to 2 Years
315,False,False,False,False,False,False,False,True,True,True,True,True,True,Female,56+,11 to 20 Years
316,True,False,False,False,False,False,False,False,True,True,True,True,True,Female,21–25,Under 1 Year
317,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,3 to 4 Years
318,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,20 Plus Years
319,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years
320,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,3 to 4 Years
321,False,False,False,False,False,False,False,True,False,True,True,True,True,Female,31–35,3 to 4 Years
322,False,False,False,False,False,False,False,False,False,False,False,True,True,Male,41–45,7 to 10 Years
