,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years,exit_year,college
87,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
88,False,True,False,False,False,False,False,False,True,False,False,False,True,Female,31–35,Under 1 Year,2010,TAFE
89,True,False,False,False,False,False,False,False,False,False,False,False,True,Female,41–45,Under 1 Year,2010,TAFE
90,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2011,TAFE
91,False,True,True,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
92,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,31–35,11 to 20 Years,2010,TAFE
93,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2011,TAFE
94,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
95,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,51-55,Under 1 Year,2010,TAFE
96,False,True,False,False,False,True,False,True,False,False,False,False,False,Female,31–35,Under 1 Year,2010,TAFE
97,True,False,False,False,True,True,True,False,False,False,False,False,False,Male,,,2011,TAFE
98,False,False,False,False,False,True,False,False,False,False,False,True,True,Male,21–25,1 to 2 Years,2010,TAFE
99,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2010,TAFE
100,True,False,False,False,True,False,False,False,False,False,False,False,False,Female,46–50,5 to 6 Years,2011,TAFE
101,False,False,True,False,True,False,True,False,False,False,False,False,False,Female,,,2010,TAFE
102,False,False,True,False,True,False,True,False,False,False,False,False,False,Female,,,2010,TAFE
103,False,False,False,True,True,True,True,False,False,False,False,False,False,Female,36–40,Under 1 Year,2010,TAFE
104,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,11 to 20 Years,2011,TAFE
105,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,3 to 4 Years,2010,TAFE
106,False,False,False,False,False,False,False,False,True,True,True,True,True,Female,51-55,1 to 2 Years,2010,TAFE
107,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,Under 1 Year,2010,TAFE
108,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,1 to 2 Years,2010,TAFE
109,True,False,False,False,False,False,False,True,False,False,False,True,True,Female,26–30,Under 1 Year,2011,TAFE
110,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
111,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
112,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
113,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
114,False,True,False,False,False,True,False,False,False,False,False,True,False,Female,26–30,7 to 10 Years,2011,TAFE
115,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21–25,Under 1 Year,2011,TAFE
116,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2011,TAFE
117,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,41–45,Under 1 Year,2011,TAFE
118,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,11 to 20 Years,2011,TAFE
119,False,False,False,False,False,False,False,True,True,False,False,False,False,Female,31–35,Under 1 Year,2011,TAFE
120,False,False,False,False,False,False,False,False,False,False,True,True,True,Female,36–40,1 to 2 Years,2011,TAFE
