,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years,exit_year,college
128,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,11 to 20 Years,2012,DETE
129,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years,2012,DETE
130,True,False,False,False,False,True,False,False,False,True,False,False,False,Male,51-55,Under 1 Year,2012,DETE
131,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years,2012,DETE
132,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,1 to 2 Years,2012,DETE
133,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,2012,DETE
134,False,True,False,False,False,False,False,False,False,False,True,True,False,Male,46-50,20 Plus Years,2012,DETE
135,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years,2012,DETE
136,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,,2012,DETE
137,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years,2012,DETE
138,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,7 to 10 Years,2012,DETE
139,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2012,DETE
140,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,2012,DETE
141,False,False,True,False,False,False,False,False,False,False,True,True,False,Male,56+,,2012,DETE
142,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,3 to 4 Years,2012,DETE
143,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,,2012,DETE
144,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56+,20 Plus Years,2012,DETE
145,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,5 to 6 Years,2012,DETE
146,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,2012,DETE
147,False,True,False,False,False,False,False,False,False,True,False,False,False,Male,26-30,7 to 10 Years,2012,DETE
148,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years,2012,DETE
149,False,True,False,False,True,True,False,False,False,False,False,False,False,Female,26-30,3 to 4 Years,2012,DETE
150,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,3 to 4 Years,2012,DETE
151,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,56+,,2012,DETE
152,False,False,False,False,False,True,False,False,False,True,False,False,False,Female,36-40,Under 1 Year,2012,DETE
153,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,3 to 4 Years,2012,DETE
154,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,56+,7 to 10 Years,2012,DETE
155,False,False,False,False,False,True,False,False,False,True,False,False,False,Female,21-25,1 to 2 Years,2012,DETE
156,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,1 to 2 Years,2012,DETE
157,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,21-25,1 to 2 Years,2012,DETE
158,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,1 to 2 Years,2012,DETE
159,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
160,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,41-45,7 to 10 Years,2012,DETE
161,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years,2012,DETE
162,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,3 to 4 Years,2012,DETE
163,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,7 to 10 Years,2012,DETE
164,False,True,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,3 to 4 Years,2012,DETE
165,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,26-30,3 to 4 Years,2012,DETE
166,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,46-50,7 to 10 Years,2012,DETE
167,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,1 to 2 Years,2012,DETE
168,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,56+,3 to 4 Years,2012,DETE
169,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,,2012,DETE
170,False,False,False,False,False,True,True,False,False,False,True,True,False,Female,46-50,3 to 4 Years,2012,DETE
171,False,False,False,False,False,True,False,False,True,False,False,False,False,Male,46-50,11 to 20 Years,2012,DETE
172,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,,3 to 4 Years,2012,DETE
173,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,5 to 6 Years,2012,DETE
174,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,5 to 6 Years,2012,DETE
175,False,False,False,True,False,False,False,False,False,True,False,False,False,Female,26-30,5 to 6 Years,2012,DETE
176,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,3 to 4 Years,2012,DETE
177,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,26-30,Under 1 Year,2012,DETE
178,False,False,False,False,True,False,False,False,False,True,False,False,False,Male,41-45,1 to 2 Years,2012,DETE
179,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,36-40,Under 1 Year,2012,DETE
180,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,26-30,Under 1 Year,2012,DETE
181,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,1 to 2 Years,2012,DETE
182,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,1 to 2 Years,2012,DETE
183,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years,2012,DETE
184,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,41-45,5 to 6 Years,2012,DETE
185,False,False,False,True,False,False,False,False,False,False,False,True,False,Female,31-35,7 to 10 Years,2012,DETE
186,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,5 to 6 Years,2012,DETE
187,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,3 to 4 Years,2012,DETE
188,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,3 to 4 Years,2012,DETE
189,False,False,False,False,False,False,False,False,False,True,False,True,False,Female,41-45,5 to 6 Years,2012,DETE
190,False,False,False,False,False,True,False,False,True,False,False,False,False,Female,56+,7 to 10 Years,2012,DETE
191,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,3 to 4 Years,2012,DETE
192,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,46-50,11 to 20 Years,2012,DETE
193,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,Under 1 Year,2012,DETE
194,False,False,False,True,False,False,False,False,False,False,True,True,False,Female,56+,20 Plus Years,2013,DETE
195,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,1 to 2 Years,2012,DETE
196,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,46-50,,2012,DETE
197,False,False,False,False,False,True,False,False,True,False,False,False,False,Female,31-35,7 to 10 Years,2012,DETE
198,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,46-50,11 to 20 Years,2012,DETE
199,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,5 to 6 Years,2012,DETE
200,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,1 to 2 Years,2012,DETE
201,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,2012,DETE
202,False,False,True,False,False,False,False,False,False,False,False,False,True,Female,46-50,7 to 10 Years,2012,DETE
203,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56+,11 to 20 Years,2012,DETE
204,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,1 to 2 Years,2012,DETE
205,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,36-40,5 to 6 Years,2012,DETE
206,False,False,False,False,False,True,False,False,True,True,False,False,False,Male,51-55,7 to 10 Years,2012,DETE
207,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,,2012,DETE
208,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years,2012,DETE
209,False,False,True,False,False,False,False,False,False,False,False,False,True,Female,46-50,7 to 10 Years,2012,DETE
210,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,5 to 6 Years,2012,DETE
211,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,20 Plus Years,2012,DETE
212,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,56+,11 to 20 Years,2012,DETE
213,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,2012,DETE
214,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,1 to 2 Years,2012,DETE
215,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,51-55,1 to 2 Years,2012,DETE
216,False,False,False,False,False,True,False,False,False,False,True,True,False,Female,51-55,20 Plus Years,2013,DETE
217,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,11 to 20 Years,2013,DETE
218,False,False,True,False,False,False,False,False,False,False,False,False,True,Female,51-55,11 to 20 Years,2012,DETE
219,False,False,False,False,False,False,False,False,True,False,False,True,False,Female,56+,11 to 20 Years,2012,DETE
220,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,1 to 2 Years,2012,DETE
221,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,20 Plus Years,2012,DETE
222,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,1 to 2 Years,2012,DETE
223,False,False,False,False,True,False,True,False,False,True,False,False,False,Male,51-55,5 to 6 Years,2012,DETE
224,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,36-40,3 to 4 Years,2012,DETE
225,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years,2012,DETE
226,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,26-30,1 to 2 Years,2012,DETE
227,False,False,False,False,True,False,False,False,False,False,False,True,False,Male,46-50,3 to 4 Years,2012,DETE
228,False,False,False,True,False,False,False,False,False,False,False,True,False,Male,56+,Under 1 Year,2012,DETE
229,False,False,False,True,False,False,False,False,False,False,False,True,False,Female,56+,Under 1 Year,2012,DETE
230,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,Under 1 Year,2012,DETE
231,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56+,7 to 10 Years,2012,DETE
232,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,7 to 10 Years,2012,DETE
233,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,46-50,11 to 20 Years,2012,DETE
234,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years,2012,DETE
235,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,3 to 4 Years,2012,DETE
236,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,51-55,20 Plus Years,2012,DETE
237,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,11 to 20 Years,2012,DETE
238,False,True,False,False,False,False,False,False,False,False,False,True,False,Male,51-55,7 to 10 Years,2012,DETE
239,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years,2012,DETE
240,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years,2013,DETE
241,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2012,DETE
242,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,51-55,11 to 20 Years,2013,DETE
243,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
244,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,,2012,DETE
245,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years,2012,DETE
246,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,51-55,20 Plus Years,2012,DETE
247,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,5 to 6 Years,2013,DETE
248,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,31-35,1 to 2 Years,2012,DETE
249,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,46-50,Under 1 Year,2012,DETE
250,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,26-30,7 to 10 Years,2013,DETE
251,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,3 to 4 Years,2012,DETE
252,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,56+,1 to 2 Years,2012,DETE
253,False,False,False,False,False,False,False,False,False,False,True,False,True,Female,51-55,11 to 20 Years,2012,DETE
254,False,True,False,True,False,False,False,False,False,False,False,True,False,Female,31-35,Under 1 Year,2012,DETE
255,False,True,False,False,False,False,False,False,False,True,False,False,False,Female,46-50,Under 1 Year,2012,DETE
256,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,7 to 10 Years,2012,DETE
257,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,Under 1 Year,2012,DETE
258,False,True,False,False,False,False,False,False,True,False,False,False,False,Female,26-30,5 to 6 Years,2012,DETE
259,False,False,False,False,False,True,False,False,True,False,False,False,False,Male,41-45,3 to 4 Years,2012,DETE
260,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years,2012,DETE
261,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,1 to 2 Years,2012,DETE
262,False,True,False,False,False,False,False,False,False,False,False,True,False,Male,36-40,1 to 2 Years,2013,DETE
