,Unnamed: 0,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years
170,170,False,False,False,False,False,True,True,False,False,False,True,True,False,Female,46-50,3 to 4 Years
171,171,False,False,False,False,False,True,False,False,True,False,False,False,False,Male,46-50,11 to 20 Years
172,172,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,,3 to 4 Years
173,173,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,5 to 6 Years
174,174,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,5 to 6 Years
175,175,False,False,False,True,False,False,False,False,False,True,False,False,False,Female,26-30,5 to 6 Years
176,176,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,3 to 4 Years
177,177,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,26-30,Under 1 Year
178,178,False,False,False,False,True,False,False,False,False,True,False,False,False,Male,41-45,1 to 2 Years
179,179,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,36-40,Under 1 Year
180,180,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,26-30,Under 1 Year
181,181,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,1 to 2 Years
182,182,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,1 to 2 Years
183,183,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
184,184,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,41-45,5 to 6 Years
185,185,False,False,False,True,False,False,False,False,False,False,False,True,False,Female,31-35,7 to 10 Years
186,186,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,5 to 6 Years
187,187,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,3 to 4 Years
188,188,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,3 to 4 Years
189,189,False,False,False,False,False,False,False,False,False,True,False,True,False,Female,41-45,5 to 6 Years
190,190,False,False,False,False,False,True,False,False,True,False,False,False,False,Female,56+,7 to 10 Years
191,191,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,3 to 4 Years
192,192,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,46-50,11 to 20 Years
193,193,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,Under 1 Year
194,194,False,False,False,True,False,False,False,False,False,False,True,True,False,Female,56+,20 Plus Years
195,195,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,1 to 2 Years
196,196,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,46-50,
197,197,False,False,False,False,False,True,False,False,True,False,False,False,False,Female,31-35,7 to 10 Years
198,198,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,46-50,11 to 20 Years
199,199,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,5 to 6 Years
200,200,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,1 to 2 Years
201,201,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,
202,202,False,False,True,False,False,False,False,False,False,False,False,False,True,Female,46-50,7 to 10 Years
203,203,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56+,11 to 20 Years
204,204,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,1 to 2 Years
205,205,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,36-40,5 to 6 Years
206,206,False,False,False,False,False,True,False,False,True,True,False,False,False,Male,51-55,7 to 10 Years
207,207,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,
208,208,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years
209,209,False,False,True,False,False,False,False,False,False,False,False,False,True,Female,46-50,7 to 10 Years
210,210,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,5 to 6 Years
211,211,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,20 Plus Years
212,212,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,56+,11 to 20 Years
213,213,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,
214,214,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,1 to 2 Years
215,215,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,51-55,1 to 2 Years
216,216,False,False,False,False,False,True,False,False,False,False,True,True,False,Female,51-55,20 Plus Years
