,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years
119,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,1 to 2 Years
120,False,False,False,False,False,True,False,False,True,False,False,False,False,Female,26-30,3 to 4 Years
121,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,NaN
122,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,20 Plus Years
123,False,False,True,False,False,False,False,False,False,False,False,False,False,,,NaN
124,False,True,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,Under 1 Year
125,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,20 Plus Years
126,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,51-55,20 Plus Years
127,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,51-55,20 Plus Years
128,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,11 to 20 Years
129,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
130,True,False,False,False,False,True,False,False,False,True,False,False,False,Male,51-55,Under 1 Year
131,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years
132,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,1 to 2 Years
133,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,NaN
134,False,True,False,False,False,False,False,False,False,False,True,True,False,Male,46-50,20 Plus Years
135,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
136,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,NaN
137,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
138,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,7 to 10 Years
139,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years
140,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,NaN
141,False,False,True,False,False,False,False,False,False,False,True,True,False,Male,56+,NaN
142,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,3 to 4 Years
143,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,NaN
144,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56+,20 Plus Years
145,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,5 to 6 Years
146,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,NaN
147,False,True,False,False,False,False,False,False,False,True,False,False,False,Male,26-30,7 to 10 Years
148,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years
149,False,True,False,False,True,True,False,False,False,False,False,False,False,Female,26-30,3 to 4 Years
150,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,3 to 4 Years
151,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,56+,NaN
152,False,False,False,False,False,True,False,False,False,True,False,False,False,Female,36-40,Under 1 Year
153,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,3 to 4 Years
154,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,56+,7 to 10 Years
155,False,False,False,False,False,True,False,False,False,True,False,False,False,Female,21-25,1 to 2 Years
156,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,1 to 2 Years
157,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,21-25,1 to 2 Years
158,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,1 to 2 Years
159,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years
160,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,41-45,7 to 10 Years
161,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years
